Athlete,Organization,Sport,Location,League,Injury,Expected duration,Financial impact ($),Financial impact (calculation),Team/game impact,Date reported,Source,Source URL
Jorge Soler,Los Angeles Angels (MLB),Baseball,"Anaheim, California",MLB,Left oblique strain; scratched a day earlier with hip tightness,Placed on the 10-day injured list,356164,prorated sunk cost (annual salary ~$13M per Spotrac ÷ 365 × 10 days out),Angels lose their outfielder/DH for at least 10 days,2026-07-11,CBS Sports - Los Angeles Angels Injury Report and Status 2026,https://www.cbssports.com/mlb/teams/LAA/los-angeles-angels/injuries/
Alijah Martin,Toronto Raptors (NBA) — Las Vegas Summer League,Basketball,"Toronto, Ontario, Canada (team); Las Vegas, Nevada (Summer League site)",NBA Summer League,Knee inflammation,Ruled out of the Raptors' Summer League game vs. Houston on July 11; no firm return timeline given in available reporting,17961,"prorated sunk cost (annual salary ~$2.19M per Spotrac [2026-27 base salary on new 2-year deal] ÷ 365 × 3 days out) [assumption: single-game absence, no diagnosis timeline given, day-to-day default]","Raptors without a rotation guard for Summer League evaluation reps, joining fellow injury absentee Collin Murray-Boyles on the sideline",2026-07-11,"Yardbarker - Collin Murray-Boyles, Alijah Martin to miss Raptors' Summer League opener",https://www.yardbarker.com/nba/articles/collin_murray_boyles_alijah_martin_to_miss_raptors_summer_league_opener/s1_17733_44049064
Kylian Mbappé,Real Madrid (La Liga) / France National Team (2026 FIFA World Cup),Soccer,"Madrid, Spain",La Liga,"Grade 1 right ankle sprain, sustained from a tackle by Morocco's Issa Diop during France's World Cup quarterfinal win","Substituted in the 77th minute as a precaution; completed training since and expected to be fully available for France's semifinal vs. Spain — described as day-to-day, no games missed",277397,prorated sunk cost (annual salary ~€31.25M / ~$33.75M per Capology [EUR→USD @1.08] ÷ 365 × 3 days out) [day-to-day default; reporting indicates no games were actually missed],"Described as a fitness scare for France ahead of the semifinal, but Mbappé and the team said there is no concern about his availability",2026-07-11,Forbes - Kylian Mbappé Injury Update Before France's World Cup Semi Vs. Spain,https://www.forbes.com/sites/brucelee/2026/07/11/kylian-mbapp-ankle-injury-update-before-frances-world-cup-semi-vs-spain/
Collin Murray-Boyles,Toronto Raptors (NBA) — Las Vegas Summer League,Basketball,"Toronto, Ontario, Canada (team); Las Vegas, Nevada (Summer League site)",NBA Summer League,"Sprained thumb/finger, diagnosed after exiting a Summer League game against the Lakers",Ruled out of the Raptors' Summer League opener vs. Boston; next possible return targeted for the Houston game; full recovery timeline not specified in available reporting,86747,"prorated sunk cost (annual salary ~$6.33M per Spotrac ÷ 365 × 5 days out) [assumption: no firm return timeline reported, used 5-day undetermined default]","Raptors lose their 2025 first-round pick (9th overall) for early Summer League reps as a point-forward, part of his developmental push",2026-07-10,"Raptors Republic - Collin Murray-Boyles, Alijah Martin to miss Raptors' Summer League opener",https://raptorsrepublic.com/2026/07/10/collin-murray-boyles-alijah-martin-to-miss-raptors-summer-league-opener/
Shohei Ohtani,Los Angeles Dodgers (MLB),Baseball,"Los Angeles, California",MLB,"Left knee irritation/swelling, nursed since at least June 11","Scratched from his Friday, July 10 pitching start vs. Arizona and will skip the All-Star Game; scheduled to have the knee drained and possibly receive a pain-relieving injection during the break",575342,"prorated sunk cost (annual salary ~$70M (contract AAV) per Spotrac ÷ 365 × 3 days out) [assumption: day-to-day knee issue, skipping one start and the All-Star Game, no IL move reported]",Dodgers manage the two-way star's workload heading into the second half; Ohtani continued to DH and homered the same day he was scratched from pitching,2026-07-10,"ESPN - Shohei Ohtani dealing with knee irritation, to miss All-Star Game",https://www.espn.com/mlb/story/_/id/49327458/shohei-ohtani-dealing-knee-irritation-miss-all-star-game
Jayden Quaintance,San Antonio Spurs (NBA Summer League),Basketball,"San Antonio, Texas",NBA Summer League,Knee injury,Will sit out the entire 2026 NBA Summer League,106925,"prorated sunk cost (annual salary ~$3.9M per Spotrac ÷ 365 × 10 days out) [assumption: ruled out for entire 2026 NBA Summer League, ~July 10-20]",Spurs lose Summer League evaluation reps for their rookie,2026-07-10,Yahoo Sports - San Antonio Spurs Rookie Jayden Quaintance to Sit Out 2026 Summer League,https://sports.yahoo.com/articles/san-antonio-spurs-rookie-jayden-184347004.html
Matt Chapman,San Francisco Giants (MLB),Baseball,"San Francisco, California",MLB,Abdominal strain,On the 10-day IL since July 1; shut down through the weekend of July 10-12,684932,prorated sunk cost (annual salary ~$25M per Spotrac ÷ 365 × 10 days out),Giants lose their starting third baseman for an extended stretch,2026-07-10,MLB.com - Latest Giants injuries & transactions,https://www.mlb.com/news/giants-injuries-and-roster-moves
Victor Bericoto,San Francisco Giants (MLB),Baseball,"San Francisco, California",MLB,"Left oblique strain, exited a game on July 9",Diagnosed July 10; recovery timeline not yet disclosed,10685,"prorated sunk cost (annual salary ~$780,000 per Spotrac ÷ 365 × 5 days out; recovery timeline undisclosed, conservative 5-day default used)",Giants lose another outfield option amid multiple oblique injuries in the unit,2026-07-10,MLB.com - Latest Giants injuries & transactions,https://www.mlb.com/news/giants-injuries-and-roster-moves
Gout Gout,Athletics Australia (Track & Field),Athletics (Track & Field),Australia,Athletics Australia (national federation),Grade-three left hamstring tear suffered in training in Brisbane,"Ruled out for the remainder of the 2026 season, including the World Athletics U20 Championships (Aug. 5-9, Eugene, Oregon); targeting a return in 2027",,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): No prize purse — the World Athletics U20 Championships is a non-prize-money junior/development championship; World Athletics only awards prize money at senior-level events.",Removes the U20 200m world record holder from an anticipated showdown with American Tate Taylor at the World U20 Championships,2026-07-09,Olympics.com - Gout Gout to miss World U20 Championships and rest of the season with hamstring injury,https://www.olympics.com/en/news/gout-gout-injury-hamstring-world-athletics-under-20-championships
Harshit Rana,India National Cricket Team,Cricket,India,International Cricket,Hamstring injury sustained during the third T20I vs. England at Trent Bridge,Ruled out of the remaining 4th and 5th T20Is of the series by the BCCI Medical Team,,Not applicable — no fixed salary information available for this national-team context,"Deepens India's bowling injury crisis on the England tour, with Rana joining Varun Chakaravarthy, Hardik Pandya, and Nitish Kumar Reddy on the unavailable list",2026-07-09,"IANS - 4th T20I: Injured Rana, Chakaravarthy ruled out of remaining games against England",https://ianslive.in/4th-t20i-injured-rana-chakaravarthy-ruled-out-of-remaining-games-against-england--20260709215924
Varun Chakaravarthy,India National Cricket Team,Cricket,India,International Cricket,Hamstring injury sustained during the third T20I vs. England at Trent Bridge,Ruled out of the remaining 4th and 5th T20Is of the series by the BCCI Medical Team,,Not applicable — no fixed salary information available for this national-team context,India's frontline wrist-spinner is unavailable as the team's injury list grows on the England tour,2026-07-09,"IANS - 4th T20I: Injured Rana, Chakaravarthy ruled out of remaining games against England",https://ianslive.in/4th-t20i-injured-rana-chakaravarthy-ruled-out-of-remaining-games-against-england--20260709215924
Litton Das,Bangladesh national cricket team,Cricket,Bangladesh,International Cricket,Left calf injury; failed a fitness test ahead of the second ODI,Ruled out of the remainder of the ODI series vs. Zimbabwe; continuing rehab in Dhaka,,Not applicable — no fixed salary information available for this national-team context,Bangladesh loses their starting wicketkeeper-batter for the series; Parvez Hossain Emon named as replacement for the 2nd and 3rd ODIs,2026-07-09,The Nation - Injured Litton Das to miss rest of Zimbabwe ODI series,https://www.nation.com.pk/09-Jul-2026/injured-litton-das-miss-rest-zimbabwe-odi-series
Ravichandran Ashwin,San Francisco Unicorns (Major League Cricket),Cricket,"San Francisco Bay Area, California",Major League Cricket,Right knee injury,Ruled out for the remainder of MLC 2026; replaced by Peter Siddle,,Not disclosed — Major League Cricket does not publicly release individual player salaries/signing terms,Unicorns lose the veteran spinner after just one appearance this MLC season,2026-07-09,India TV News - Why is Ravichandran Ashwin ruled out of ongoing MLC 2026? San Francisco Unicorns announce replacement,https://www.indiatvnews.com/sports/cricket/why-is-ravichandran-ashwin-ruled-out-of-ongoing-mlc-2026-san-francisco-unicorns-announce-replacement-2026-07-09-1047737
Aaron Judge,New York Yankees (MLB),Baseball,"Bronx, New York",MLB,Stress fracture in right rib; has not played since May 31 and went on the injured list June 5,"Will have the rib reimaged during the All-Star break; no firm return date, GM Brian Cashman says he must be fully asymptomatic and show healing on imaging before resuming activity",547945,prorated sunk cost (annual salary ~$40M per Spotrac ÷ 365 × 5 days out),Yankees continue without their three-time AL MVP and captain in the middle of the lineup,2026-07-09,ESPN - Yankees' Aaron Judge to have rib reimaged during All-Star break,https://www.espn.com/mlb/story/_/id/49317023/yankees-aaron-judge-rib-reimaged-all-star-break
Mark Vientos,New York Mets (MLB),Baseball,"Queens (Flushing), New York",MLB,Fractured bone in right hand after being hit by a pitch from Michael Wacha,"Headed to the injured list; broken bones of this type typically take around six weeks to heal, though the Mets have not given an official timeline and have not yet said whether surgery is needed",93637,"prorated sunk cost (annual salary ~$813,750 per Spotrac ÷ 365 × 42 days out)","Mets lose a regular infielder/DH (.211, 11 HR, 35 RBI in 72 games) just ahead of the trade deadline",2026-07-09,amNewYork - Mark Vientos injury: Mets IF/DH headed to IL with hand fracture,https://www.amny.com/sports/mark-vientos-injury-mets-7-9-26/
Zack Gelof,Athletics (MLB),Baseball,"West Sacramento, California (Sutter Health Park; relocating to Las Vegas)",MLB,Deep cut underneath the right kneecap after colliding with the left field fence on a sliding catch; came just missed the tendon per the team,Left the July 9 game early; scheduled for an MRI on July 10 to confirm the extent of the injury,10479,"prorated sunk cost (annual salary ~$765,000 per Spotrac ÷ 365 × 5 days out)",Athletics risk losing an everyday infielder/outfielder who had an on-base streak of 27 straight games and a 13-game scoring streak snapped by the injury,2026-07-09,ESPN - Athletics' Gelof to have MRI on knee after sliding into fence,https://www.espn.com/mlb/story/_/id/49319837/athletics-gelof-mri-knee-sliding-fence
Chinelle Henry,West Indies Women's National Cricket Team,Cricket,West Indies (Caribbean),International Cricket,Exacerbation of a previous injury originally suffered fielding (stretchered off) in a T20 World Cup warm-up match in June,Ruled out of the Women's ODI tour of Ireland beginning July 10; no return timeline disclosed,,Not applicable — no fixed salary information available for this national-team context,West Indies lose their vice-captain and a key all-rounder; Realeanna Grimmond called up as her replacement for the Ireland series,2026-07-09,ESPNcricinfo - Realeanna Grimmond replaces injured Chinelle Henry in West Indies squad for Ireland Women's ODIs,https://www.espncricinfo.com/story/slug-1545066
Torstein Træen,Uno-X Mobility (Tour de France) — Norway,Cycling,Norway (team HQ),UCI WorldTeam / Tour de France,Concussion and multiple fractured ribs sustained in a crash on the descent of the Col du Tourmalet during stage 6,Withdrew from the Tour de France (did not start stage 7); no return timeline specified in available reporting,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): €2,302,800 (~$2.6M) total prize fund for the 2026 Tour de France (per Domestique Cycling/Velo/Outside).",Uno-X Mobility loses the rider who had been wearing the race's yellow jersey after stage 5; Tadej Pogačar reclaimed the overall race lead the same day,2026-07-09,Cyclingnews - 'Not the ending we wanted for this yellow adventure' - Torstein Træen out of Tour de France due to injuries from Tourmalet crash,https://www.cyclingnews.com/pro-cycling/teams-riders/not-the-ending-we-wanted-for-this-yellow-adventure-torstein-traeen-out-of-tour-de-france-due-to-injuries-from-tourmalet-crash/
Alex Molenaar,Caja Rural-Seguros RGA (Tour de France) — Netherlands,Cycling,"Pamplona, Spain (team HQ)",UCI ProTeam / Tour de France,"Fracture of the first metacarpal in his right hand plus multiple contusions, sustained in a high-speed crash roughly 5km from the finish of stage 5; evaluated under concussion protocol after losing memory of the incident",Abandoned the Tour de France; did not start stage 6; recovery timeline not specified in available reporting,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): €2,302,800 (~$2.6M) total prize fund for the 2026 Tour de France (per Domestique Cycling/Velo/Outside).",Caja Rural-Seguros RGA loses a rider mid-Tour,2026-07-09,Cycling Weekly - 'I don't remember the crash' – Caja Rural rider abandons Tour de France with fractured hand,https://www.cyclingweekly.com/racing/tour-de-france/i-dont-remember-the-crash-caja-rural-rider-abandons-tour-de-france-with-fractured-hand
Arvid de Kleijn,Tudor Pro Cycling Team (Tour de France) — Netherlands,Cycling,Switzerland (team HQ),UCI ProTeam / Tour de France,"Muscle tears sustained during the stage 1 team time trial, which hampered him for the rest of the race",Abandoned the Tour de France on stage 6 after struggling since the opening days; recovery timeline not specified in available reporting,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): €2,302,800 (~$2.6M) total prize fund for the 2026 Tour de France (per Domestique Cycling/Velo/Outside).",Tudor Pro Cycling Team loses a rider mid-Tour after he battled to beat the time cut on multiple stages,2026-07-09,idlprocycling - Suffering ends: Arvid de Kleijn and Cian Uijtdebroeks abandon Tour de France,https://www.idlprocycling.com/cycling/suffering-ends-arvid-de-kleijn-and-cian-uijtdebroeks-abandon-tour-de-france
Carlos Alcaraz,ATP Tour,Tennis,"N/A — individual tour athlete, no fixed team location",ATP Tour,"Right-wrist tenosynovitis, forcing withdrawals from Madrid, Rome, Roland Garros, Queen's and Wimbledon; has worn a wrist brace since mid-April","Has pulled out of the ATP Montreal entry list and opted to prolong his comeback by two more weeks, targeting Cincinnati or the US Open for his return; recently resumed light on-court practice without a brace",,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $9.42M total ATP prize money for the 2026 National Bank Open (Montreal) (per BetMGM Sports).",World No. 2 has now missed a full clay and grass swing including two Grand Slams; absence continues into the North American hard-court season,2026-07-09,Last Word On Tennis - Carlos Alcaraz Injury Update: Spaniard Pulls Out of ATP Montreal Entry List,https://lastwordonsports.com/tennis/2026/07/09/carlos-alcaraz-injury-update-spaniard-pulls-out-of-atp-montreal/
Max Domi,Toronto Maple Leafs (NHL),Hockey,"Toronto, Ontario, Canada",NHL,"Complications from an offseason surgery (undisclosed procedure, originally to address an issue played through in 2025-26); reportedly left him with severe mobility issues after the procedure","Out indefinitely; will be re-evaluated at the start of training camp in September, with availability for the 2026-27 season in question",616438,"prorated sunk cost (annual salary ~$3.75M AAV per Spotrac ÷ 365 × 60 days out) [assumption: 60 days used as the near-term horizon to the September training-camp re-evaluation date; reporting indicates his full 2026-27 season could be at risk if complications persist, which would raise this figure substantially]",Maple Leafs face uncertainty over a key veteran forward's availability for training camp and potentially the start of next season,2026-07-09,"NHL.com - Max Domi has 'complications' after surgery, out indefinitely for Maple Leafs",https://www.nhl.com/news/max-domi-has-complications-after-surgery-out-indefinitely-for-maple-leafs
Connor Bedard,Chicago Blackhawks (NHL),Hockey,"Chicago, Illinois",NHL,Surgery on left shoulder after an injury sustained during a practice session in Vancouver on July 2,Expected to need approximately four months to recover; will miss training camp and at least the start of the 2026-27 season,312329,"prorated sunk cost (2025-26 entry-level contract cap hit ~$950,000 per Spotrac/Puckpedia ÷ 365 × 120 days out [~4-month recovery])","Blackhawks will open the 2026-27 season, played under the NHL's expanded 84-game schedule, without their No. 1 center for at least the opening month",2026-07-08,NHL.com - Bedard to miss start of 2026-27 season for Blackhawks after shoulder surgery,https://www.nhl.com/news/connor-bedard-injury-status-update-july-8-2026
Aliyah Boston,Indiana Fever (WNBA),Basketball,"Indianapolis, Indiana",WNBA,Lower right leg injury,Listed out for the Fever's game vs. the LA Sparks; expected to be available for the following game vs. Phoenix,8219,prorated sunk cost (annual salary ~$1M per Spotrac ÷ 365 × 3 days out),"Fever forced to manage the availability of both Boston and Caitlin Clark during a back-to-back stretch; Boston, a voted-in 2026 All-Star starter, is having a career-best scoring season (17.1 ppg on 50.4% shooting) and was in danger of missing her first game since May 17",2026-07-08,Athlon Sports - Indiana Fever Announce Aliyah Boston Injury Update Before LA Sparks Game,https://athlonsports.com/wnba/indiana-fever/indiana-fever-announce-aliyah-boston-injury-update-la-sparks-game
Reece James,Chelsea FC (Premier League) / England National Team (2026 FIFA World Cup),Soccer,"London, England",Premier League,Hamstring injury sustained in England's final group-stage match vs. Ghana on June 23; described by reporting as worse than first thought,"Touch-and-go for England's July 11 World Cup quarterfinal vs. Norway; has missed England's last three matches and was the sole absentee from the team's final group training session, requiring final medical clearance just to be considered for the bench",85479,prorated sunk cost (annual salary ~£10.4M (~$10.4M gross fixed wages) per Capology ÷ 365 × 3 days out),"Compounds an England right-back crisis that worsened after Jarell Quansah's red card vs. Mexico, leaving manager Thomas Tuchel with very limited options at the position for the quarterfinal",2026-07-08,Sky Sports - England World Cup latest: Reece James in race to be fit for quarter-final clash with Norway to ease right-back crisis,https://www.skysports.com/football/news/11095/13561150/england-world-cup-latest-reece-james-in-race-to-be-fit-for-quarter-final-clash-with-norway-to-ease-right-back-crisis
Aurelien Tchouameni,Real Madrid (La Liga) / France National Team (2026 FIFA World Cup),Soccer,"Madrid, Spain",La Liga,"Muscle tear involving the left adductor and upper thigh, a recurrence of the groin/thigh issue that previously sidelined him for France's group-stage match vs. Iraq","Missed France's Round of 16 win over Paraguay; returned to partial team training on July 8, with a decision on his availability for the July 11 quarterfinal vs. Morocco pending",102740,prorated sunk cost (annual salary ~€12.5M gross (~$13.5M) per Capology ÷ 365 × 3 days out),"France's vice-captain and starting defensive midfielder is a doubt for the quarterfinal, with Manu Kone deputizing in his absence",2026-07-08,Sportskeeda - France handed huge injury boost as star man returns to training ahead of FIFA World Cup Q/F against Morocco,https://www.sportskeeda.com/football/rumor-france-handed-huge-injury-boost-star-man-returns-training-ahead-fifa-world-cup-q-f-morocco-reports
Mustafizur Rahman,Bangladesh National Cricket Team,Cricket,Bangladesh,International Cricket,"Grade 1 muscle tear in the right hamstring and meniscal degeneration in the right knee, felt while bowling in the first ODI vs. Zimbabwe","Ruled out for four weeks, covering the remainder of Bangladesh's tour of Zimbabwe (concluding July 19), including the T20I series; has returned home for rehab",,Not applicable — no fixed salary information available for this national-team context,Bangladesh lose a frontline pace bowler for the rest of the Zimbabwe tour,2026-07-08,ESPNcricinfo - Zim vs Ban: Mustafizur Rahman ruled out for four weeks with hamstring and knee injuries,https://www.espncricinfo.com/story/zim-vs-ban-mustafizur-rahman-ruled-out-for-four-weeks-with-hamstring-and-knee-injuries-1545065
Marco Raya,Minnesota Twins (MLB),Baseball,"Minneapolis, Minnesota",MLB,Right shoulder impingement,"Placed on 15-day IL July 8, retroactive to July 5",32055,"prorated sunk cost (annual salary ~$780,000 MLB minimum per Spotrac ÷ 365 × 15 days out)",Twins lose a pitching option for at least 15 days,2026-07-08,MLB.com - Latest Twins injuries & transactions,https://www.mlb.com/news/twins-injuries-and-roster-moves
Endy Rodriguez,Pittsburgh Pirates (MLB),Baseball,"Pittsburgh, Pennsylvania",MLB,Left glute strain,"Placed on 10-day IL July 8, retroactive to July 6",21370,"prorated sunk cost (annual salary ~$780,000 MLB minimum per Spotrac ÷ 365 × 10 days out)",Pirates lose their starting catcher for at least 10 days,2026-07-08,MLB Trade Rumors - Pirates Place Endy Rodriguez On Injured List,https://www.mlbtraderumors.com/2026/07/pirates-to-place-endy-rodriguez-on-injured-list.html
Taylor Fritz,ATP Tour,Tennis,"N/A — individual tour athlete, no fixed team location",ATP Tour,"Knee tendinitis flare-up, a recurring issue, three games into his Wimbledon quarterfinal","Played through the flare-up but lost the quarterfinal 6-4, 6-4, 6-2 to Alexander Zverev; no absence or further tournament withdrawal reported",,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): £64.2M (~$86.1M) total 2026 Wimbledon Championships prize money (per CBS Sports/ATP Tour) — this was a completed quarterfinal loss, not a withdrawal, so no forfeiture occurred.",Eliminated from Wimbledon; dropped to No. 10 in the ATP Live Rankings,2026-07-08,ESPN - Taylor Fritz loses at Wimbledon after knee tendinitis flares up,https://www.espn.com/tennis/story/_/id/49308826/taylor-fritz-loses-alexander-zverev-wimbledon-quarterfinals-knee-tendonitis-flares-up
Elvis Smylie,LIV Golf (Ripper GC) / DP World Tour,Golf,"N/A — individual tour athlete, no fixed team location",LIV Golf / DP World Tour,Rib injury,"Withdrew from the Genesis Scottish Open and The Open Championship at Royal Birkdale; announced an extended break from golf for rehabilitation, with no firm return timeline given",,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $17.75M total tournament prize purse for the 2026 Open Championship at Royal Birkdale (per CBS Sports/Forbes).","Removes the Australian, who had qualified for his third Open Championship appearance, from the year's final men's major",2026-07-08,Today's Golfer - LIV Golf star withdraws on the eve of The Open,https://www.todays-golfer.com/news-and-events/majors/the-open-championship/elvis-smylie-liv-golf-withdrawal/
Jalen Brunson,New York Knicks (NBA),Basketball,"New York, New York",NBA,Surgery to repair a left wrist injury that he played through during the Knicks' championship playoff run,At least two months of rehab expected; targeting readiness for the start of the 2026-27 NBA season,6203757,prorated sunk cost (annual salary ~$37.74M per Spotrac ÷ 365 × 60 days out),"Reigning Finals MVP and starting point guard sidelined for part of the offseason program, though expected back for training camp",2026-07-07,"Yahoo Sports - Knicks superstar Jalen Brunson undergoes left wrist surgery, expected to be ready for 2026-27 NBA season",https://sports.yahoo.com/nba/breaking-news/article/knicks-superstar-jalen-brunson-undergoes-left-wrist-surgery-expected-to-be-ready-for-2026-27-nba-season-155927234.html
Amadou Onana,Aston Villa (Premier League) / Belgium National Team (2026 FIFA World Cup),Soccer,"Birmingham, England",Premier League,"Torn anterior cruciate ligament (ACL), sustained in the 21st minute of Belgium's Round of 16 win over the United States after a challenge with Christian Pulisic",Ruled out for the remainder of the World Cup; reported to be facing up to eight months out,6414378,prorated sunk cost (annual salary ~$9.76M per Capology (GBP→USD @1.34) ÷ 365 × 240 days out),"Belgium loses a key defensive midfielder ahead of their World Cup quarterfinal vs. Spain, and Aston Villa will be without him for a significant part of the 2026-27 season",2026-07-07,ESPN - Belgium's Amadou Onana out of World Cup after suffering ACL injury,https://www.espn.com/soccer/story/_/id/49298508/belgium-amadou-onana-world-cup-suffering-acl-injury
Giancarlo Stanton,New York Yankees (MLB),Baseball,"Bronx, New York",MLB,Right calf strain (originally suffered running the bases on April 24 vs. the Astros); recent rehab setback after re-aggravating the calf during a running progression,"No firm timeline; has not resumed running since the setback, no target return date given",397260,prorated sunk cost (annual salary ~$29.00M per Spotrac ÷ 365 × 5 days out),Yankees continue without their veteran slugger amid an offense that has struggled with injuries; manager Aaron Boone still expects him back at some point in 2026,2026-07-07,Last Word on Sports - Stanton Injury Update: Slugger Yet To Resume Rehab On Calf,https://lastwordonsports.com/baseball/2026/07/07/nyy-stanton-injury-update/
Matteo Berrettini,ATP Tour,Tennis,"N/A — individual tour athlete, no fixed team location",ATP Tour,"Diagnosed with chronic hip pain, a recurrence of the left hip issue that forced his retirement from his Roland Garros quarterfinal in early June","Withdrawing from the ATP tournaments in Gstaad and Kitzbuhel to rest on medical advice, with the goal of being ready for the US hard-court swing culminating in the US Open; no firm return date given",,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): €612,620 total prize money for the 2026 ATP Gstaad (Swiss Open), and €612,620 for the 2026 ATP Kitzbuhel (Generali Open) — both ATP 250 events he withdrew from (per ATP Tour/Perfect Tennis).",Removes him from the draw at both tournaments immediately following his third-round Wimbledon loss to Grigor Dimitrov,2026-07-07,"Puntodebreak - Berrettini withdraws from competing in upcoming tournaments due to ""chronic hip pain""",https://www.puntodebreak.com/en/2026/07/07/berrettini-withdraws-from-competing-in-upcoming-tournaments-due-to-chronic-hip-pain
Skylar Diggins,Chicago Sky (WNBA),Basketball,"Chicago, Illinois",WNBA,Right knee injury; Diggins has said a knee surgery from last October has contributed to ongoing strain,Ruled out for the July 7 game vs. Phoenix Mercury; no return timeline given,7562,"prorated sunk cost (annual salary ~$920,000 per Spotrac ÷ 365 × 3 days out)","Comes as Diggins was moved to the bench for the first time in a decade, ending a streak of 341 consecutive starts; Sky beat Phoenix 77-66 in her absence",2026-07-07,"Yahoo Sports - Sky's Skylar Diggins ruled out (knee) after being benched, Vandersloot starting",https://sports.yahoo.com/articles/skys-skylar-diggins-ruled-vs-010259203.html
Emma Raducanu,WTA Tour,Tennis,"N/A — individual tour athlete, no fixed team location",WTA Tour,Stress fracture in lower right leg (ankle area); withdrew hours before her scheduled first-round match,"Ruled out of Wimbledon 2026; still on crutches and wearing a protective boot several days after withdrawal, no return timeline given",53600,"forfeited guaranteed prize money — 50% of the £80,000 first-round Wimbledon payout, per WTA withdrawal rules (per GB News / Tennis365)",Removes a top British draw from the tournament,2026-07-06,Yardbarker - Emma Raducanu setback deepens as British star remains on crutches after Wimbledon withdrawal,https://www.yardbarker.com/tennis/articles/emma_raducanu_setback_deepens_as_british_star_remains_on_crutches_after_wimbledon_withdrawal/s1_17460_44037038
Jordan Henderson,England National Team (2026 FIFA World Cup),Soccer,England,International Soccer,Wrist fracture sustained in a freak fall while celebrating England's Round of 16 win over Mexico; reportedly requires surgery,Ruled out for the remainder of the 2026 World Cup; exact surgery date and recovery length not yet specified,,Not applicable — no fixed salary information available for this national-team context,"England advance to the quarterfinals without an experienced veteran midfielder, compounding a growing injury list",2026-07-06,ESPN - England's Henderson hospitalized with wrist injury during celebration,https://www.espn.com/soccer/story/_/id/49283507/jordan-henderson-taken-hospital-wrist-injury-falling-mexico-victory-celebrations-england-world-cup
Santiago Gimenez,AC Milan (Serie A) / Mexico National Team,Soccer,"Milan, Italy",Serie A,"Grade II right ankle sprain suffered in stoppage time of Mexico's Round of 16 loss to England; hospitalized, but avoided fracture and ligament damage",Not yet specified by club or national team,72304,prorated sunk cost (annual salary ~$5.28M per Capology (EUR→USD @1.14) ÷ 365 × 5 days out),Injury compounds Mexico's World Cup elimination and raises concern over his fitness for AC Milan's preseason,2026-07-06,beIN Sports - Adding insult to injury! Santiago Gimenez suffers injury during Mexico's loss to England,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/adding-insult-to-injury-santiago-gimenez-suffers-injury-during-mexico-s-loss-to-england-2026-07-06
Ismael Saibari,"Bayern Munich (Bundesliga, incoming) / Morocco National Team (2026 FIFA World Cup)",Soccer,"Munich, Germany",Bundesliga,Hamstring injury (minor muscle issue per medical tests; serious strain ruled out) suffered in the 22nd minute of Morocco's Round of 16 win over Canada,Day-to-day pending fitness test; final decision on availability for the World Cup quarterfinal vs. France expected only hours before kickoff,48723,prorated sunk cost (annual base salary ~€5.2M / ~$5.93M per Capology (EUR→USD @1.14) ÷ 365 × 3 days out),Morocco risks losing their top attacking threat (three group-stage goals) for the biggest match of their World Cup run,2026-07-06,The National - Ismael Saibari fitness concern for Morocco ahead of France World Cup quarter-final clash,https://www.thenationalnews.com/sport/world-cup-2026/2026/07/06/ismael-saibari-fitness-concern-for-morocco-ahead-of-france-world-cup-quarter-final-clash/
A'ja Wilson,Las Vegas Aces (WNBA),Basketball,"Las Vegas, Nevada",WNBA,Foot injury sustained in a game against the Chicago Sky,"Missed 3 games; coach Becky Hammon said she could have played if it were a playoff game, suggesting an imminent return",11507,prorated sunk cost (annual salary ~$1.40M per Spotrac ÷ 365 × 3 days out),"Aces without their All-Star forward/center for a short stretch, including a loss to Indiana",2026-07-06,Northwest Arkansas Democrat-Gazette - Injuries taking toll throughout WNBA,https://www.nwaonline.com/news/2026/jul/07/injuries-taking-toll-throughout-wnba/
Caitlin Clark,Indiana Fever (WNBA),Basketball,"Indianapolis, Indiana",WNBA,Aggravated back injury,Has resumed practicing; no confirmed timeline yet for a game return,4347,"prorated sunk cost (annual salary ~$528,846 per Spotrac ÷ 365 × 3 days out)",Fever have played without their All-Star starting guard for an extended stretch,2026-07-06,Northwest Arkansas Democrat-Gazette - Injuries taking toll throughout WNBA,https://www.nwaonline.com/news/2026/jul/07/injuries-taking-toll-throughout-wnba/
